datetime,temperature,humidity,heat_index
2020-09-20 15:10:03,25.0,40.0,25.683478355560005
2020-09-20 15:10:04,25.0,38.0,25.629742311116807
2020-09-20 15:10:09,25.0,38.0,25.629742311116807
2020-09-20 15:10:13,25.0,38.0,25.629742311116807
2020-09-20 15:10:20,25.0,38.0,25.629742311116807
2020-09-20 15:10:26,25.0,38.0,25.629742311116807
2020-09-20 15:10:27,25.0,38.0,25.629742311116807
2020-09-20 15:10:31,25.0,41.0,25.708765144448183
2020-09-20 15:10:32,25.0,38.0,25.629742311116807
2020-09-20 15:10:35,25.0,40.0,25.683478355560005
2020-09-20 15:10:39,25.0,40.0,25.683478355560005
2020-09-20 15:10:42,25.0,40.0,25.683478355560005
2020-09-20 15:10:46,25.0,40.0,25.683478355560005
2020-09-20 15:10:49,25.0,40.0,25.683478355560005
2020-09-20 15:10:51,25.0,38.0,25.629742311116807
2020-09-20 15:10:54,25.0,40.0,25.683478355560005
2020-09-20 15:10:56,25.0,38.0,25.629742311116807
2020-09-20 15:11:02,25.0,37.0,25.601293055561808
2020-09-20 15:11:04,25.0,38.0,25.629742311116807
2020-09-20 15:11:12,25.0,38.0,25.629742311116807
2020-09-20 15:11:15,25.0,41.0,25.708765144448183
2020-09-20 15:11:16,25.0,38.0,25.629742311116807
2020-09-20 15:11:20,25.0,40.0,25.683478355560005
2020-09-20 15:11:21,25.0,38.0,25.629742311116807
2020-09-20 15:11:24,25.0,40.0,25.683478355560005
2020-09-20 15:11:26,25.0,38.0,25.629742311116807
2020-09-20 15:11:29,25.0,40.0,25.683478355560005
2020-09-20 15:11:30,25.0,38.0,25.629742311116807
2020-09-20 15:11:34,25.0,40.0,25.683478355560005
2020-09-20 15:11:35,25.0,38.0,25.629742311116807
2020-09-20 15:11:39,25.0,41.0,25.708765144448183
2020-09-20 15:11:40,25.0,38.0,25.629742311116807
2020-09-20 15:11:44,25.0,40.0,25.683478355560005
2020-09-20 15:11:47,25.0,40.0,25.683478355560005
2020-09-20 15:11:48,25.0,38.0,25.629742311116807
2020-09-20 15:11:54,25.0,38.0,25.629742311116807
2020-09-20 15:11:57,25.0,40.0,25.683478355560005
2020-09-20 15:11:59,25.0,38.0,25.629742311116807
2020-09-20 15:12:06,25.0,38.0,25.629742311116807
2020-09-20 15:12:08,25.0,38.0,25.629742311116807
2020-09-20 15:12:11,25.0,41.0,25.708765144448183
2020-09-20 15:12:13,25.0,38.0,25.629742311116807
2020-09-20 15:12:16,25.0,40.0,25.683478355560005
2020-09-20 15:12:22,25.0,38.0,25.629742311116807
2020-09-20 15:12:23,25.0,38.0,25.629742311116807
2020-09-20 15:12:31,25.0,38.0,25.629742311116807
2020-09-20 15:12:32,25.0,38.0,25.629742311116807
2020-09-20 15:12:33,25.0,40.0,25.683478355560005
2020-09-20 15:12:35,25.0,40.0,25.683478355560005
2020-09-20 15:12:36,25.0,40.0,25.683478355560005
2020-09-20 15:12:39,25.0,40.0,25.683478355560005
2020-09-20 15:12:41,25.0,38.0,25.629742311116807
2020-09-20 15:12:44,25.0,39.0,25.65713741111621
2020-09-20 15:12:48,25.0,40.0,25.683478355560005
2020-09-20 15:12:49,25.0,38.0,25.629742311116807
2020-09-20 15:12:55,25.0,38.0,25.629742311116807
